Year,State,AER.Fuel.Type.Code,Net.Generation.MWh,Lat,Long
2011,AL,HYC,8883598,32.688053,-86.810585
2011,AL,NUC,39356122,32.688053,-86.810585
2011,AL,ORW,9899,32.688053,-86.810585
2011,AL,OTH,382502,32.688053,-86.810585
2011,AL,WWW,2806764,32.688053,-86.810585
2011,AR,HPS,34431,34.755883,-92.640559
2011,AR,HYC,2957845,34.755883,-92.640559
2011,AR,NUC,14194445,34.755883,-92.640559
2011,AR,ORW,23976,34.755883,-92.640559
2011,AR,OTH,32417,34.755883,-92.640559
2011,AR,WWW,1586638,34.755883,-92.640559
2011,AZ,HPS,121019,34.255149,-111.62621
2011,AZ,HYC,9174092,34.255149,-111.62621
2011,AZ,NUC,31277863,34.255149,-111.62621
2011,AZ,ORW,4770,34.255149,-111.62621
2011,AZ,OTH,14754,34.255149,-111.62621
2011,AZ,WND,255579,34.255149,-111.62621
2011,AZ,WWW,143626,34.255149,-111.62621
2011,CA,GEO,12552383,36.531544,-119.586168
2011,CA,HPS,-88793,36.531544,-119.586168
2011,CA,HYC,42557468,36.531544,-119.586168
2011,CA,NUC,36663247,36.531544,-119.586168
2011,CA,ORW,738988,36.531544,-119.586168
2011,CA,OTH,916922,36.531544,-119.586168
2011,CA,WND,7751837,36.531544,-119.586168
2011,CA,WWW,3444682,36.531544,-119.586168
2011,CO,HPS,-243379,38.996664,-105.547822
2011,CO,HYC,2082622,38.996664,-105.547822
2011,CO,ORW,39005,38.996664,-105.547822
2011,CO,OTH,63454,38.996664,-105.547822
2011,CO,WND,5200322,38.996664,-105.547822
2011,CO,WWW,172,38.996664,-105.547822
2011,CT,HPS,5604,41.580163,-72.756629
2011,CT,HYC,567442,41.580163,-72.756629
2011,CT,NUC,15927837,41.580163,-72.756629
2011,CT,OTH,704867,41.580163,-72.756629
2011,CT,WWW,836,41.580163,-72.756629
2011,DE,ORW,0,38.978849,-75.46014
2011,DE,OTH,0,38.978849,-75.46014
2011,DE,WND,4825,38.978849,-75.46014
2011,FL,HYC,182042,27.97762,-81.769611
2011,FL,NUC,22015368,27.97762,-81.769611
2011,FL,ORW,493424,27.97762,-81.769611
2011,FL,OTH,3385052,27.97762,-81.769611
2011,FL,WWW,2209433,27.97762,-81.769611
2011,GA,HPS,-733517,32.53951,-83.380775
2011,GA,HYC,2705058,32.53951,-83.380775
2011,GA,NUC,32306181,32.53951,-83.380775
2011,GA,ORW,38424,32.53951,-83.380775
2011,GA,OTH,27868,32.53951,-83.380775
2011,GA,WWW,3070256,32.53951,-83.380775
2011,IA,HYC,925352,42.039943,-93.500069
2011,IA,NUC,5215229,42.039943,-93.500069
2011,IA,ORW,72865,42.039943,-93.500069
2011,IA,WND,10709177,42.039943,-93.500069
2011,ID,GEO,63490,43.764877,-114.964267
2011,ID,HYC,13404799,43.764877,-114.964267
2011,ID,ORW,23921,43.764877,-114.964267
2011,ID,OTH,77631,43.764877,-114.964267
2011,ID,WND,1306682,43.764877,-114.964267
2011,ID,WWW,474384,43.764877,-114.964267
2011,IL,HYC,140462,40.265028,-89.191575
2011,IL,NUC,95823196,40.265028,-89.191575
2011,IL,ORW,51,40.265028,-89.191575
2011,IL,OTH,298863,40.265028,-89.191575
2011,IL,WND,6213132,40.265028,-89.191575
2011,IL,WWW,519,40.265028,-89.191575
2011,IN,HYC,408779,39.904493,-86.250281
2011,IN,ORW,5229,39.904493,-86.250281
2011,IN,OTH,369053,39.904493,-86.250281
2011,IN,WND,3285411,39.904493,-86.250281
2011,KS,HYC,14745,38.500327,-98.380429
2011,KS,NUC,7318888,38.500327,-98.380429
2011,KS,ORW,0,38.500327,-98.380429
2011,KS,WND,3719979,38.500327,-98.380429
2011,KY,HYC,2969312,37.696825,-84.924095
2011,KY,ORW,376,37.696825,-84.924095
2011,KY,OTH,8955,37.696825,-84.924095
2011,KY,WWW,341272,37.696825,-84.924095
2011,LA,HYC,1044019,30.542601,-92.51441
2011,LA,NUC,16614975,30.542601,-92.51441
2011,LA,ORW,71093,30.542601,-92.51441
