Year,State,AER Fuel Type Code,Net Generation MWh
2016,AK,RFO,0
2016,AK,HYC,25644
2016,AK,HYC,4589
2016,AK,DFO,8
2016,AK,DFO,132
2016,AK,DFO,80
2016,AK,HYC,27902
2016,AK,HYC,2700
2016,AK,DFO,81
2016,AK,DFO,-201
2016,AK,HYC,71246
2016,AK,HYC,124484
2016,AK,DFO,41
2016,AK,NG,45041
2016,AK,DFO,0
2016,AK,HYC,76916
2016,AK,HYC,273037
2016,AK,ORW,0
2016,AK,DFO,0
2016,AK,COL,191982
2016,AK,WWW,0
2016,AK,HYC,20683
2016,AK,DFO,-1111
2016,AK,DFO,30159
2016,AK,WND,1688
2016,AK,HYC,11621
2016,AK,DFO,111
2016,AK,DFO,105
2016,AK,HYC,69018
2016,AK,DFO,44
2016,AK,NG,84421
2016,AK,DFO,18122
2016,AK,HYC,35983
2016,AK,HYC,54850
2016,AK,DFO,9175
2016,AK,DFO,431
2016,AK,DFO,-9
2016,AK,DFO,5589
2016,AK,DFO,0
2016,AK,DFO,0
2016,AK,DFO,87
2016,AK,DFO,2442
2016,AK,WOO,48475
2016,AK,DFO,16005
2016,AK,WOO,0
2016,AK,WOO,253499
2016,AK,DFO,97231
2016,AK,WOO,0
2016,AK,RFO,0
2016,AK,DFO,7251
2016,AK,RFO,0
2016,AK,DFO,-118
2016,AK,DFO,0
2016,AK,DFO,2879
2016,AK,COL,121356
2016,AK,WOC,68241
2016,AK,HYC,86666
2016,AK,NG,12
2016,AK,NG,-780
2016,AK,DFO,3199
2016,AK,DFO,22066
2016,AK,HYC,14286
2016,AK,DFO,16483
2016,AK,WND,3991
2016,AK,DFO,10403
2016,AK,DFO,5045
2016,AK,DFO,5
2016,AK,DFO,2471
2016,AK,DFO,4654
2016,AK,WOO,0
2016,AK,DFO,3326
2016,AK,WOO,0
2016,AK,DFO,1545
2016,AK,WOO,0
2016,AK,DFO,2729
2016,AK,WOO,0
2016,AK,DFO,1855
2016,AK,WOO,0
2016,AK,DFO,2980
2016,AK,WOO,0
2016,AK,DFO,2812
2016,AK,WOO,0
2016,AK,DFO,1638
2016,AK,WOO,0
2016,AK,DFO,2987
2016,AK,WOO,0
2016,AK,DFO,2289
2016,AK,DFO,23
2016,AK,NG,105352
2016,AK,DFO,76
2016,AK,NG,449611
2016,AK,NG,34676
2016,AK,DFO,41020
2016,AK,HYC,42915
2016,AK,HYC,13207
2016,AK,DFO,5794
2016,AK,HYC,789
2016,AK,DFO,175
2016,AK,DFO,1099
2016,AK,HYC,3743
2016,AK,DFO,3046
2016,AK,HYC,4585
2016,AK,DFO,1107
2016,AK,DFO,1
2016,AK,NG,50161
2016,AK,NG,0
2016,AK,DFO,2554
2016,AK,DFO,2614
2016,AK,HYC,3100
2016,AK,DFO,77
2016,AK,DFO,8
2016,AK,DFO,0
2016,AK,HYC,430509
2016,AK,DFO,-1
2016,AK,DFO,5390
2016,AK,DFO,1714
2016,AK,WOO,0
2016,AK,DFO,3348
2016,AK,WOO,0
2016,AK,DFO,2139
2016,AK,WOO,0
2016,AK,DFO,2859
2016,AK,DFO,4580
2016,AK,DFO,414
2016,AK,NG,5935
2016,AK,DFO,6549
2016,AK,NG,0
2016,AK,DFO,3609
2016,AK,DFO,3855
2016,AK,DFO,6796
2016,AK,HYC,2090
2016,AK,DFO,1824
2016,AK,DFO,46918
2016,AK,DFO,289
2016,AK,DFO,0
2016,AK,HYC,16957
2016,AK,HYC,20763
2016,AK,WOO,0
2016,AK,WOO,17636
2016,AK,HYC,15539
2016,AK,COL,105551
2016,AK,DFO,216
2016,AK,COL,69679
2016,AK,DFO,0
2016,AK,DFO,2603
2016,AK,NG,1130
2016,AK,COL,37331
2016,AK,WWW,0
2016,AK,DFO,0
2016,AK,WOO,0
2016,AK,NG,62679
2016,AK,DFO,18455
2016,AK,DFO,29837
2016,AK,ORW,502
2016,AK,DFO,108
2016,AK,NG,147381
2016,AK,NG,251517
2016,AK,DFO,689
2016,AK,DFO,-10
2016,AK,HYC,5322
2016,AK,DFO,38
2016,AK,HYC,7123
2016,AK,NG,194964
2016,AK,NG,677026
2016,AK,DFO,0
2016,AK,WOO,1813
2016,AK,DFO,0
2016,AK,WOO,2302
2016,AK,DFO,0
2016,AK,WOO,1213
2016,AK,DFO,0
2016,AK,WOO,1447
2016,AK,DFO,0
2016,AK,WOO,3351
2016,AK,DFO,0
2016,AK,WOO,1634
2016,AK,DFO,0
2016,AK,WOO,2156
2016,AK,DFO,0
2016,AK,WOO,1938
2016,AK,DFO,0
2016,AK,WOO,1287
2016,AK,DFO,0
2016,AK,WOO,1278
2016,AK,DFO,0
2016,AK,WOO,1911
2016,AK,DFO,0
2016,AK,WOO,1551
2016,AK,DFO,0
2016,AK,WOO,1927
2016,AK,DFO,0
2016,AK,WOO,1282
2016,AK,DFO,0
2016,AK,WOO,2958
2016,AK,DFO,0
2016,AK,WOO,3430
2016,AK,HYC,87454
2016,AK,WND,29309
2016,AK,NG,39612
2016,AK,OTH,-2392
2016,AK,WND,73845
2016,AK,NG,0
2016,AK,NG,72702
2016,AK,DFO,0
2016,AK,MLG,42515
2016,AK,NG,1
2016,AK,OTH,0
2016,AK,WND,56022
2016,AK,WND,4446
2016,AK,HYC,7649
2016,AK,HYC,881
2016,AK,DFO,0
2016,AK,NG,819046
2016,AK,DFO,138
2016,AK,DFO,1316
2016,AK,DFO,1474
2016,AK,DFO,1343
2016,AK,DFO,0
2016,AK,DFO,1137
2016,AK,OTH,0
2016,AK,HYC,96901
2016,AK,DFO,0
2016,AK,WOO,0
2016,AL,HYC,-325
2016,AL,NG,2918277
2016,AL,NG,5483083
2016,AL,COL,4278313
2016,AL,NG,91218
2016,AL,HYC,468960
2016,AL,COL,0
2016,AL,NG,190978
2016,AL,WWW,0
2016,AL,COL,5481976
2016,AL,DFO,12465
2016,AL,COL,0
2016,AL,DFO,6
2016,AL,NG,156837
2016,AL,COL,0
2016,AL,COL,525671
2016,AL,NG,627120
2016,AL,COL,0
2016,AL,HYC,154855
2016,AL,HYC,129325
2016,AL,HYC,269244
2016,AL,HYC,266305
2016,AL,HYC,404623
2016,AL,HYC,304289
2016,AL,HYC,372569
2016,AL,HYC,233853
2016,AL,HYC,200640
2016,AL,HYC,164092
2016,AL,HYC,116654
2016,AL,DFO,132
2016,AL,COL,3774470
2016,AL,DFO,0
2016,AL,NG,505819
2016,AL,HYC,239468
2016,AL,NUC,9523236
2016,AL,NUC,8308499
2016,AL,NUC,8382888
2016,AL,COL,0
2016,AL,DFO,442
2016,AL,NG,1938
2016,AL,COL,0
2016,AL,COL,739247
2016,AL,DFO,2706
2016,AL,COL,0
2016,AL,HYC,506256
2016,AL,HYC,1014935
2016,AL,HYC,5718
2016,AL,HYC,14113
2016,AL,COL,1470744
2016,AL,DFO,9948
2016,AL,DFO,19
2016,AL,NG,1295758
2016,AL,DFO,36
2016,AL,NG,2520793
2016,AL,NUC,6672996
2016,AL,NUC,7014260
2016,AL,DFO,0
2016,AL,NG,277344
2016,AL,COL,17915695
2016,AL,HYC,195134
2016,AL,HYC,114934
2016,AL,HYC,1809161
2016,AL,NG,-8047
2016,AL,DFO,6
2016,AL,NG,316912
2016,AL,NG,166655
2016,AL,NG,551951
2016,AL,NG,10083
2016,AL,NG,467026
2016,AL,NG,4545663
2016,AL,NG,7125198
2016,AL,NG,269687
2016,AL,NG,1002972
2016,AL,NG,2438266
2016,AL,NG,3658619
2016,AL,DFO,0
2016,AL,COL,0
2016,AL,NG,0
2016,AL,WWW,206985
2016,AL,DFO,1497
2016,AL,NG,26267
2016,AL,WWW,75742
2016,AL,COL,27318
2016,AL,WWW,121994
2016,AL,DFO,957
2016,AL,NG,59391
2016,AL,RFO,0
2016,AL,WWW,9716
2016,AL,NG,2481
2016,AL,OOG,21245
2016,AL,COL,0
2016,AL,NG,164900
2016,AL,WWW,226530
2016,AL,OOG,0
2016,AL,NG,0
2016,AL,COL,28608
2016,AL,WWW,328693
2016,AL,DFO,0
2016,AL,NG,87828
2016,AL,ORW,0
2016,AL,WWW,125752
2016,AL,WOO,2789
2016,AL,DFO,0
2016,AL,NG,60329
2016,AL,DFO,0
2016,AL,NG,233708
2016,AL,WWW,187649
2016,AL,NG,51279
2016,AL,WWW,44004
2016,AL,COL,0
2016,AL,WWW,95852
2016,AL,DFO,0
2016,AL,NG,38931
2016,AL,WWW,408861
2016,AL,DFO,340
2016,AL,NG,17924
2016,AL,WWW,12287
2016,AL,NG,4433
2016,AL,NG,78852
2016,AL,NG,17476
2016,AL,COL,155
2016,AL,WWW,228426
2016,AL,DFO,0
2016,AL,NG,48494
2016,AL,RFO,1335
2016,AL,WWW,197635
2016,AL,COL,16209
2016,AL,WWW,185183
2016,AL,DFO,265
2016,AL,NG,16025
2016,AL,WWW,11178
2016,AL,WWW,111154
2016,AL,DFO,0
2016,AL,NG,98627
2016,AL,OTH,0
2016,AL,RFO,7355
2016,AL,ORW,0
2016,AL,WWW,9441
2016,AL,NG,154252
2016,AL,WWW,319369
2016,AL,DFO,0
2016,AL,NG,29743
2016,AL,WWW,273892
2016,AL,DFO,695
2016,AL,NG,0
2016,AL,WWW,77001
2016,AL,DFO,144
2016,AL,NG,47166
2016,AL,NG,19268
2016,AL,DFO,0
2016,AL,NG,490090
2016,AL,DFO,0
2016,AL,NG,1011159
2016,AL,DFO,0
2016,AL,NG,1114862
2016,AL,DFO,0
2016,AL,NG,1790655
2016,AL,NG,928565
2016,AL,NG,1671893
2016,AL,NG,1444849
2016,AL,NG,2670424
2016,AL,DFO,4695
2016,AL,NG,190430
2016,AL,NG,1946750
2016,AL,NG,3440351
2016,AL,DFO,0
2016,AL,NG,2140440
2016,AL,DFO,0
2016,AL,NG,3045201
2016,AL,NG,46242
2016,AL,NG,181
2016,AL,OOG,2808
2016,AL,WWW,39791
2016,AL,MLG,10970
2016,AL,MLG,27140
2016,AL,SUN,31261
2016,AR,HYC,70029
2016,AR,NG,332156
2016,AR,DFO,0
2016,AR,NG,0
2016,AR,DFO,0
2016,AR,HYC,42767
2016,AR,HYC,164928
2016,AR,HYC,67927
2016,AR,HPS,38824
2016,AR,HYC,198122
2016,AR,DFO,0
2016,AR,NG,0
2016,AR,HYC,46537
2016,AR,HYC,233281
2016,AR,HYC,223819
2016,AR,HYC,875676
2016,AR,HYC,664117
2016,AR,DFO,0
2016,AR,NG,55394
2016,AR,DFO,0
2016,AR,NG,200508
2016,AR,NG,16219
2016,AR,RFO,0
2016,AR,NG,61314
2016,AR,RFO,0
2016,AR,DFO,12805
2016,AR,COL,5684733
2016,AR,DFO,6015
2016,AR,COL,2035319
2016,AR,HYC,103533
2016,AR,DFO,9630
2016,AR,COL,7694609
2016,AR,HYC,138536
2016,AR,HYC,169672
2016,AR,HYC,147872
2016,AR,HYC,378865
2016,AR,NG,41
2016,AR,DFO,0
2016,AR,NG,48100
2016,AR,NG,354
2016,AR,NUC,7752291
2016,AR,NUC,5668731
2016,AR,NG,940
2016,AR,ORW,4631
2016,AR,WWW,249476
2016,AR,DFO,0
2016,AR,NG,157967
2016,AR,OTH,0
2016,AR,WWW,94801
2016,AR,WOO,3355
2016,AR,WWW,303833
2016,AR,DFO,0
2016,AR,NG,20926
2016,AR,RFO,0
2016,AR,OTH,581
2016,AR,WWW,89133
2016,AR,WWW,68899
2016,AR,DFO,0
2016,AR,NG,30303
2016,AR,PC,0
2016,AR,WOO,0
2016,AR,WWW,0
2016,AR,COL,49895
2016,AR,WWW,398984
2016,AR,NG,69779
2016,AR,RFO,0
2016,AR,OTH,5056
2016,AR,WWW,49704
2016,AR,HYC,0
2016,AR,DFO,0
2016,AR,NG,213364
2016,AR,DFO,0
2016,AR,NG,999607
2016,AR,NG,106243
2016,AR,NG,413236
2016,AR,DFO,433
2016,AR,NG,263896
2016,AR,DFO,802
2016,AR,NG,470384
2016,AR,NG,3811468
2016,AR,NG,5647977
2016,AR,NG,1241828
2016,AR,NG,1722413
2016,AR,NG,708115
2016,AR,NG,1338879
2016,AR,ORW,43440
2016,AR,WWW,2289
2016,AR,NG,117273
2016,AR,DFO,9318
2016,AR,COL,4596002
2016,AR,NG,7805
2016,AR,DFO,5
2016,AR,NG,67718
2016,AR,MLG,33799
2016,AR,NG,9238
2016,AR,COL,3739513
2016,AR,MLG,30837
2016,AR,HYC,6005
2016,AR,HYC,15966
2016,AR,HYC,22334
2016,AR,SUN,24542
2016,AR,NG,37742
2016,AR,SUN,1600
2016,AR,NG,0
2016,AZ,HYC,0
2016,AZ,COL,0
2016,AZ,DFO,4044
2016,AZ,NG,196
2016,AZ,COL,2427927
2016,AZ,DFO,84
2016,AZ,NG,2987
2016,AZ,SUN,653
2016,AZ,DFO,0
2016,AZ,NG,133018
2016,AZ,RFO,0
2016,AZ,NG,692869
2016,AZ,NG,398182
2016,AZ,DFO,0
2016,AZ,NG,1475759
2016,AZ,NG,3219
2016,AZ,DFO,0
2016,AZ,NG,15748
2016,AZ,RFO,0
2016,AZ,DFO,331
2016,AZ,NG,154599
2016,AZ,NG,205774
2016,AZ,RFO,0
2016,AZ,NG,5324
2016,AZ,DFO,0
2016,AZ,NG,4907
2016,AZ,COL,0
2016,AZ,MLG,0
2016,AZ,NG,772370
2016,AZ,RFO,0
2016,AZ,COL,0
2016,AZ,DFO,-56
